2539329;1;train;Organic Unsweetened Vanilla Almond Milk;14084;Organic Unsweetened Vanilla Almond Milk;1.0
2398795;1;train_y;Pistachios, Bag of Organic Bananas, Cinnamon Toast Crunch;13176;Bag of Organic Bananas;0.3333333333333333
2398795;1;train_y;Pistachios, Bag of Organic Bananas, Cinnamon Toast Crunch;13032;Cinnamon Toast Crunch;0.3333333333333333
2398795;1;train_y;Pistachios, Bag of Organic Bananas, Cinnamon Toast Crunch;10258;Pistachios;0.3333333333333333
473747;1;train_y;Pistachios;10258;Pistachios;1.0
2254736;1;train;Pistachios;10258;Pistachios;1.0
431534;1;train;Pistachios, Organic Fuji Apples, Honeycrisp Apples, Bartlett Pears, Bag of Organic Bananas;13176;Bag of Organic Bananas;0.2
431534;1;train;Pistachios, Organic Fuji Apples, Honeycrisp Apples, Bartlett Pears, Bag of Organic Bananas;41787;Bartlett Pears;0.2
431534;1;train;Pistachios, Organic Fuji Apples, Honeycrisp Apples, Bartlett Pears, Bag of Organic Bananas;17122;Honeycrisp Apples;0.2
431534;1;train;Pistachios, Organic Fuji Apples, Honeycrisp Apples, Bartlett Pears, Bag of Organic Bananas;10326;Organic Fuji Apples;0.2
431534;1;train;Pistachios, Organic Fuji Apples, Honeycrisp Apples, Bartlett Pears, Bag of Organic Bananas;10258;Pistachios;0.2
3367565;1;train;Pistachios;10258;Pistachios;1.0
550135;1;train;Pistachios, Cinnamon Toast Crunch;13032;Cinnamon Toast Crunch;0.5
550135;1;train;Pistachios, Cinnamon Toast Crunch;10258;Pistachios;0.5
3108588;1;train;Pistachios;10258;Pistachios;1.0
2295261;1;train_y;Pistachios;10258;Pistachios;1.0
2550362;1;train;0% Greek Strained Yogurt, Pistachios, Organic Unsweetened Almond Milk, Cinnamon Toast Crunch;35951;Organic Unsweetened Almond Milk;0.25
2550362;1;train;0% Greek Strained Yogurt, Pistachios, Organic Unsweetened Almond Milk, Cinnamon Toast Crunch;38928;0% Greek Strained Yogurt;0.25
2550362;1;train;0% Greek Strained Yogurt, Pistachios, Organic Unsweetened Almond Milk, Cinnamon Toast Crunch;13032;Cinnamon Toast Crunch;0.25
2550362;1;train;0% Greek Strained Yogurt, Pistachios, Organic Unsweetened Almond Milk, Cinnamon Toast Crunch;10258;Pistachios;0.25
2168274;2;train;Organic Avocado, Roasted Turkey, Uncured Genoa Salami, Organic Raspberries, Bag of Organic Bananas, Honeycrisp Apple;13176;Bag of Organic Bananas;0.16666666666666666
2168274;2;train;Organic Avocado, Roasted Turkey, Uncured Genoa Salami, Organic Raspberries, Bag of Organic Bananas, Honeycrisp Apple;27966;Organic Raspberries;0.16666666666666666
2168274;2;train;Organic Avocado, Roasted Turkey, Uncured Genoa Salami, Organic Raspberries, Bag of Organic Bananas, Honeycrisp Apple;47766;Organic Avocado;0.16666666666666666
2168274;2;train;Organic Avocado, Roasted Turkey, Uncured Genoa Salami, Organic Raspberries, Bag of Organic Bananas, Honeycrisp Apple;45066;Honeycrisp Apple;0.16666666666666666
2168274;2;train;Organic Avocado, Roasted Turkey, Uncured Genoa Salami, Organic Raspberries, Bag of Organic Bananas, Honeycrisp Apple;27344;Uncured Genoa Salami;0.16666666666666666
2168274;2;train;Organic Avocado, Roasted Turkey, Uncured Genoa Salami, Organic Raspberries, Bag of Organic Bananas, Honeycrisp Apple;20574;Roasted Turkey;0.16666666666666666
1501582;2;train_y;Strawberries, Organic Avocado;47766;Organic Avocado;0.5
1501582;2;train_y;Strawberries, Organic Avocado;16797;Strawberries;0.5
1901567;2;train;Organic Avocado, Roasted Turkey;47766;Organic Avocado;0.5
1901567;2;train;Organic Avocado, Roasted Turkey;20574;Roasted Turkey;0.5
738281;2;train;Organic Roasted Sliced Chicken Breast, Organic Gala Apples, Banana, Organic Hass Avocado;47209;Organic Hass Avocado;0.25
738281;2;train;Organic Roasted Sliced Chicken Breast, Organic Gala Apples, Banana, Organic Hass Avocado;24852;Banana;0.25
738281;2;train;Organic Roasted Sliced Chicken Breast, Organic Gala Apples, Banana, Organic Hass Avocado;37646;Organic Gala Apples;0.25
738281;2;train;Organic Roasted Sliced Chicken Breast, Organic Gala Apples, Banana, Organic Hass Avocado;36735;Organic Roasted Sliced Chicken Breast;0.25
1673511;2;train;Unsweetened Original Almond Breeze Almond Milk, Oats & Honey Granola, Total 0% Raspberry Yogurt, Fat Free Blueberry Yogurt, Cherry Pomegranate Greek Yogurt, Organic Avocado;47766;Organic Avocado;0.16666666666666666
1673511;2;train;Unsweetened Original Almond Breeze Almond Milk, Oats & Honey Granola, Total 0% Raspberry Yogurt, Fat Free Blueberry Yogurt, Cherry Pomegranate Greek Yogurt, Organic Avocado;22124;Total 0% Raspberry Yogurt;0.16666666666666666
1673511;2;train;Unsweetened Original Almond Breeze Almond Milk, Oats & Honey Granola, Total 0% Raspberry Yogurt, Fat Free Blueberry Yogurt, Cherry Pomegranate Greek Yogurt, Organic Avocado;47144;Unsweetened Original Almond Breeze Almond Milk;0.16666666666666666
1673511;2;train;Unsweetened Original Almond Breeze Almond Milk, Oats & Honey Granola, Total 0% Raspberry Yogurt, Fat Free Blueberry Yogurt, Cherry Pomegranate Greek Yogurt, Organic Avocado;1559;Cherry Pomegranate Greek Yogurt;0.16666666666666666
1673511;2;train;Unsweetened Original Almond Breeze Almond Milk, Oats & Honey Granola, Total 0% Raspberry Yogurt, Fat Free Blueberry Yogurt, Cherry Pomegranate Greek Yogurt, Organic Avocado;19156;Fat Free Blueberry Yogurt;0.16666666666666666
1673511;2;train;Unsweetened Original Almond Breeze Almond Milk, Oats & Honey Granola, Total 0% Raspberry Yogurt, Fat Free Blueberry Yogurt, Cherry Pomegranate Greek Yogurt, Organic Avocado;14553;Oats & Honey Granola;0.16666666666666666
1199898;2;train_y;Uncured Genoa Salami, Banana, Honeycrisp Apple, Organic Raspberries, Organic Hass Avocado, Organic Roasted Sliced Chicken Breast, Total 0% Nonfat Greek Yogurt, Total 2% with Strawberry Lowfat Greek Strained ..., Total 2% Lowfat Plain Greek Yogurt, Total 2% All Natural Greek Strained Yogurt with..., Total 0% with Honey Nonfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blue..., Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Bartlett Pears;33754;Total 2% with Strawberry Lowfat Greek Strained Yogurt;0.07142857142857142
1199898;2;train_y;Uncured Genoa Salami, Banana, Honeycrisp Apple, Organic Raspberries, Organic Hass Avocado, Organic Roasted Sliced Chicken Breast, Total 0% Nonfat Greek Yogurt, Total 2% with Strawberry Lowfat Greek Strained ..., Total 2% Lowfat Plain Greek Yogurt, Total 2% All Natural Greek Strained Yogurt with..., Total 0% with Honey Nonfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blue..., Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Bartlett Pears;27966;Organic Raspberries;0.07142857142857142
1199898;2;train_y;Uncured Genoa Salami, Banana, Honeycrisp Apple, Organic Raspberries, Organic Hass Avocado, Organic Roasted Sliced Chicken Breast, Total 0% Nonfat Greek Yogurt, Total 2% with Strawberry Lowfat Greek Strained ..., Total 2% Lowfat Plain Greek Yogurt, Total 2% All Natural Greek Strained Yogurt with..., Total 0% with Honey Nonfat Greek Strained Yogurt, Total 2% Lowfat Greek Strained Yogurt With Blue..., Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Bartlett Pears;47209;Organic Hass Avocado;0.07142857142857142
